N	WORD	FREQUENCY	%
1107	post	9339	0.01
1108	rule	9333	0.01
1109	failed	9311	0.01
1110	wales	9292	0.01
1111	responsibility	9287	0.01
1112	trouble	9287	0.01
1113	leader	9270	0.01
1114	tomorrow	9266	0.01
1115	associated	9246	0.01
1116	11	9238	0.01
1117	thirty	9234	0.01
1118	learning	9232	0.01
1119	officer	9224	0.01
1120	notice	9211	0.01
1121	fair	9210	0.01
1122	task	9199	0.01
1123	arm	9194	0.01
1124	separate	9167	0.01
1125	highly	9152	0.01
1126	base	9152	0.01
1127	eventually	9138	0.01
1128	ability	9135	0.01
1129	d	9132	0.01
1130	charles	9122	0.01
1131	drive	9119	0.01
1132	skills	9116	0.01
1133	opposition	9113	0.01
1134	pattern	9108	0.01
1135	remained	9102	0.01
1136	hot	9096	0.01
1137	method	9091	0.01
1138	source	9088	0.01
1139	sitting	9078	0.01
1140	bought	9074	0.01
1141	baby	9070	0.01
1142	interested	9032	0.01
1143	surface	9027	0.01
1144	sale	9027	0.01
1145	teaching	9011	0.01
1146	division	9009	0.01
1147	remain	8996	0.01
1148	fear	8991	0.01
1149	wants	8977	0.01
1150	minute	8976	0.01
1151	remains	8975	0.01
1152	older	8970	0.01
1153	claims	8957	0.01
1154	methods	8953	0.01
1155	accepted	8940	0.01
1156	machine	8938	0.01
1157	fully	8928	0.01
1158	equipment	8925	0.01
1159	box	8922	0.01
1160	suggest	8916	0.01
1161	radio	8910	0.01
1162	dear	8909	0.01
1163	disease	8905	0.01
1164	killed	8884	0.01
1165	types	8882	0.01
1166	peace	8880	0.01
1167	officers	8878	0.01
1168	slightly	8873	0.01
1169	balance	8857	0.01
1170	features	8857	0.01
1171	policies	8837	0.01
1172	hardly	8835	0.01
1173	arrived	8833	0.01
1174	step	8826	0.01
1175	compared	8825	0.01
1176	wait	8820	0.01
1177	exchange	8814	0.01
1178	matters	8806	0.01
1179	windows	8801	0.01
1180	otherwise	8798	0.01
1181	directly	8784	0.01
